09:59:49.785036 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902: Flags [P.], seq 1084924:1085144, ack 433, win 501, length 220
09:59:49.785150 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902: Flags [P.], seq 1085144:1085364, ack 433, win 501, length 220
09:59:49.785251 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902: Flags [P.], seq 1085364:1085584, ack 433, win 501, length 220
09:59:49.785287 IP cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 1057484, win 686, length 0
09:59:49.785287 IP cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 1059904, win 676, length 0
09:59:49.785507 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902: Flags [P.], seq 1085584:1086132, ack 433, win 501, length 548
09:59:49.785613 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902: Flags [P.], seq 1086132:1086352, ack 433, win 501, length 220
09:59:49.785706 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902: Flags [P.], seq 1086352:1086572, ack 433, win 501, length 220
09:59:49.785987 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902: Flags [P.], seq 1086572:1086792, ack 433, win 501, length 220
09:59:49.786093 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902: Flags [P.], seq 1086792:1087012, ack 433, win 501, length 220
09:59:49.786205 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902: Flags [P.], seq 1087012:1087232, ack 433, win 501, length 220
09:59:49.786305 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902: Flags [P.], seq 1087232:1087452, ack 433, win 501, length 220
09:59:49.786413 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902: Flags [P.], seq 1087452:1087672, ack 433, win 501, length 220
09:59:49.786516 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902: Flags [P.], seq 1087672:1087892, ack 433, win 501, length 220
09:59:49.786718 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpec09435c3be97-cmc09435c3be95.cpe.net.cable.rogers.com.58902: Flags [P.], seq 1087892:1088112, ack 433, win 501, length 220
